,순위,단어,품사,풀이,등급,단어 Revised
1501,2155.0,둥글다01,형,,B,둥글다
1502,2497.0,둥지,명,,C,둥지
1503,87.0,뒤01,명,,A,뒤
1504,3271.0,뒤늦다,형,,C,뒤늦다
1505,2997.0,뒤따르다,동,,C,뒤따르다
1506,3272.0,뒤지다02,동,가방을 ~,C,뒤지다
1507,2957.0,뒤집다,동,,B,뒤집다
1508,5100.0,뒤쪽01,명,,B,뒤쪽
1509,6989.0,뒤편,명,-便,C,뒤편
1510,9992.0,뒷골목,명,,C,뒷골목
1511,3863.0,뒷모습,명,,C,뒷모습
1512,7497.0,뒷문,명,-門,C,뒷문
1513,6046.0,뒷산,명,-山,B,뒷산
1514,2078.0,드디어,부,,C,드디어
1515,1237.0,드라마,명,drama,B,드라마
1516,598.0,드러나다,동,,C,드러나다
1517,1460.0,드리다01,동,인사를 ~,A,드리다
1518,830.0,드리다01,보,도와 ~,A,
1519,1960.0,드물다,형,,C,드물다
1520,88.0,듣다01,동,소리를 ~,A,듣다
1521,2797.0,들01,명,,B,들
1522,3142.0,들다01,보,따지고 ~,B,들다
1523,91.0,들다01,동,여관에 ~,A,
1524,130.0,들다04,동,꽃을 ~,A,들다
1525,1733.0,들려오다,동,,B,들려오다
1526,4337.0,들려주다,동,,B,들려주다
1527,1961.0,들르다,동,,B,들르다
1528,866.0,들리다03,동,소리가 ~,B,들리다
1529,158.0,들어가다01,동,,A,들어가다
1530,646.0,들어서다,동,,B,들어서다
1531,256.0,들어오다,동,,A,들어오다
1532,9994.0,들어주다,동,,C,들어주다
1533,5743.0,들여놓다,동,,C,들여놓다
1534,1739.0,들여다보다,동,,B,들여다보다
1535,1515.0,들이다02,동,'들다'의 사동사,C,들이다
1536,6779.0,들이마시다02,동,숨을 ~,C,들이마시다
1537,5604.0,들이켜다01,동,,C,들이켜다
1538,337.0,듯01,의,,C,듯
1539,3685.0,듯싶다,보,,C,듯싶다
1540,989.0,듯이01,의,,B,듯이
1541,347.0,듯하다,보,,C,듯하다
1542,1019.0,등01,명,신체의 일부,B,등
1543,3405.0,등04,의,等. 1~,B,등
1544,18.0,등05,의,等,B,등
1545,3349.0,등등01,의,等等,C,등등
1546,3273.0,등록01,명,登錄,B,등록
1547,7221.0,등록금,명,登錄金,B,등록금
1548,4268.0,등록증,명,登錄證,C,등록증
1549,9537.0,등록하다01,동,登錄-,C,등록하다
1550,4996.0,등산,명,登山,A,등산
1551,8355.0,등산로,명,登山路,B,등산로
1552,3035.0,등장01,명,登場,C,등장
1553,987.0,등장하다01,동,登場-,C,등장하다
1554,3274.0,디스크,명,disk,C,디스크
1555,9995.0,디자이너,명,designer,B,디자이너
1556,3036.0,디자인,명,design,B,디자인
1557,26587.0,따님,명,,C,따님
1558,1590.0,따다01,동,떼다,B,따다
1559,1312.0,따뜻하다,형,,A,따뜻하다
1560,2468.0,따라가다,동,,B,따라가다
1561,5605.0,따라다니다,동,,C,따라다니다
1562,268.0,따라서,부,,C,따라서
1563,3921.0,따라오다,동,,B,따라오다
1564,1313.0,따로,부,,B,따로
1565,9996.0,따로따로01,부,,C,따로따로
1566,51.0,따르다01,동,뒤를 ~,B,따르다
1567,3143.0,따르다02,동,물을 ~,B,따르다
1568,5744.0,따스하다,형,,C,따스하다
1569,3524.0,딱02,부,멎는 모양,C,딱
1570,1851.0,딱03,부,바라진 모양,B,딱
1571,4200.0,딱딱하다01,형,굳다,C,딱딱하다
1572,2111.0,딴03,관,~ 일,B,딴
1573,625.0,딸01,명,,A,딸
1574,8053.0,딸기,명,,A,딸기
1575,7500.0,딸아이,명,,C,딸아이
1576,1399.0,땀01,명,,B,땀
1577,321.0,땅01,명,,B,땅
1578,8054.0,땅바닥,명,,C,땅바닥
1579,4201.0,땅속,명,,C,땅속
1580,6215.0,땅콩,명,,B,땅콩
1581,19.0,때01,명,시간,A,때
1582,5475.0,때02,명,더러운 물질,C,때
1583,7749.0,때때로,부,,B,때때로
1584,1353.0,때로,부,,C,때로
1585,1686.0,때리다01,동,,C,때리다
1586,31.0,때문,의,,A,때문
1587,6047.0,땜03,의,때문,B,땜
1588,5889.0,떠나가다,동,,C,떠나가다
1589,327.0,떠나다,동,,A,떠나다
1590,8727.0,떠나오다,동,,C,떠나오다
1591,2765.0,떠들다01,동,말하다,B,떠들다
1592,5890.0,떠들썩하다02,형,떠들다,C,떠들썩하다
1593,1042.0,떠오르다,동,,B,떠오르다
1594,1749.0,떠올리다,동,,B,떠올리다
1595,1443.0,떡01,명,,A,떡
1596,18402.0,떡국,명,,C,떡국
1597,13255.0,떡볶이,명,,B,떡볶이
1598,1271.0,떨다01,동,,B,떨다
1599,2570.0,떨리다01,동,흔들리다,B,떨리다
1600,2621.0,떨어뜨리다,동,,B,떨어뜨리다
1601,299.0,떨어지다,동,,B,떨어지다
1602,2798.0,떼01,명,양 ~,C,떼
1603,1070.0,떼다01,동,,B,떼다
1604,40.0,또,부,,A,또
1605,250.0,또는,부,,B,또는
1606,2177.0,또다시,부,,B,또다시
1607,248.0,또한,부,,B,또한
1608,1376.0,똑같다,형,,A,똑같다
1609,2622.0,똑같이,부,,B,똑같이
1610,3864.0,똑똑하다,형,,B,똑똑하다
1611,5201.0,똑바로,부,,A,똑바로
1612,4338.0,뚜껑,명,,B,뚜껑
1613,3113.0,뚫다,동,,C,뚫다
1614,11721.0,뚱뚱하다,형,,B,뚱뚱하다
1615,9541.0,뛰놀다,동,,C,뛰놀다
1616,1852.0,뛰다01,동,심장이 ~,A,뛰다
1617,1626.0,뛰다02,동,빨리 나아가다,A,뛰다
1618,4598.0,뛰어가다,동,,C,뛰어가다
1619,9998.0,뛰어나가다,동,,B,뛰어나가다
1620,1661.0,뛰어나다,형,,C,뛰어나다
1621,9114.0,뛰어나오다,동,,C,뛰어나오다
1622,6399.0,뛰어내리다,동,,C,뛰어내리다
1623,3315.0,뛰어넘다,동,,C,뛰어넘다
1624,9999.0,뛰어놀다,동,,C,뛰어놀다
1625,7224.0,뛰어다니다,동,,B,뛰어다니다
1626,2280.0,뛰어들다,동,,B,뛰어들다
1627,9542.0,뛰어오다,동,,B,뛰어오다
1628,6780.0,뛰어오르다,동,,C,뛰어오르다
1629,1178.0,뜨겁다,형,,A,뜨겁다
1630,1389.0,뜨다01,동,솟아오르다,B,뜨다
1631,7753.0,뜨다03,동,떠나다,C,뜨다
1632,1673.0,뜨다05,동,눈을 ~,B,뜨다
1633,3634.0,뜯다,동,,C,뜯다
1634,6218.0,뜰01,명,,C,뜰
1635,296.0,뜻,명,,B,뜻
1636,5891.0,뜻대로,부,,C,뜻대로
1637,4420.0,뜻밖,명,,C,뜻밖
1638,6219.0,뜻밖에,부,,C,뜻밖에
1639,1816.0,뜻하다,동,,C,뜻하다
1640,1792.0,띄다01,동,눈에 ~,C,띄다
1641,4687.0,띄우다02,동,배를 ~,C,띄우다
1642,1571.0,라디오,명,radio,A,라디오
1643,2623.0,라면01,명,&일ramen,A,라면
1644,5606.0,라운드,명,round,C,라운드
1645,10002.0,라이벌,명,rival,C,라이벌
1646,6781.0,라이터,명,lighter,B,라이터
1647,5202.0,라인01,명,line,C,라인
1648,9544.0,라켓,명,racket,C,라켓
1649,,러시아,고,Russia,A,러시아
1650,,런던,고,London,B,런던
1651,7503.0,레몬,명,lemon,B,레몬
1652,5892.0,레스토랑,명,&프restaurant,B,레스토랑
1653,8731.0,레이저,명,laser,C,레이저
1654,9115.0,레저,명,leisure,C,레저
1655,5203.0,렌즈,명,lens,B,렌즈
1656,5893.0,로봇,명,robot,C,로봇
1657,9116.0,로터리,명,rotary,C,로터리
1658,3525.0,리02,의,里,C,리
1659,3802.0,리그01,명,league,C,리그
1660,2998.0,리듬,명,rhythm,B,리듬
1661,9546.0,리터01,의,liter,C,리터
1662,2571.0,마구01,부,,B,마구
1663,3316.0,마누라01,명,,C,마누라
1664,1740.0,마늘,명,,B,마늘
1665,1617.0,마당,명,,C,마당
1666,4788.0,마당,의,,C,
1667,3037.0,마디01,명,,C,마디
1668,2799.0,마땅하다,형,,C,마땅하다
1669,7756.0,마라톤,명,marathon,C,마라톤
1670,1572.0,마련,의,,C,마련
1671,2233.0,마련,명,,C,
1672,2440.0,마련되다,동,,B,마련되다
1673,833.0,마련하다,동,,B,마련하다
1674,2441.0,마루03,명,~를 닦다,B,마루
1675,1649.0,마르다01,동,,B,마르다
1676,1168.0,마리01,의,,A,마리
1677,3740.0,마무리,명,,C,마무리
1678,8358.0,마사지,명,massage,B,마사지
1679,365.0,마시다,동,,A,마시다
1680,4508.0,마약,명,痲藥,C,마약
1681,9547.0,마요네즈,명,&프mayonnaise,C,마요네즈
1682,480.0,마을01,명,,B,마을
1683,148.0,마음01,명,,A,마음
1684,5608.0,마음가짐,명,,C,마음가짐
1685,4789.0,마음껏,부,,C,마음껏
1686,2921.0,마음대로,부,,B,마음대로
1687,4339.0,마음먹다,동,,C,마음먹다
1688,2212.0,마음속,명,,B,마음속
1689,7225.0,마음씨,명,,C,마음씨
1690,3803.0,마이크,명,mike,C,마이크
1691,2250.0,마주01,부,,B,마주
1692,3741.0,마주치다,동,,C,마주치다
1693,8736.0,마중01,명,,B,마중
1694,626.0,마지막,명,,A,마지막
1695,545.0,마찬가지,명,,B,마찬가지
1696,4997.0,마찰,명,摩擦,C,마찰
1697,580.0,마치03,부,,B,마치
1698,711.0,마치다02,동,,B,마치다
1699,2265.0,마침02,부,,B,마침
1700,1507.0,마침내,부,,B,마침내
1701,4998.0,마크,명,mark,C,마크
1702,9548.0,마흔,수,,A,마흔
1703,1817.0,막01,부,바로 지금,B,막
1704,1159.0,막02,부,마구,B,막
1705,4421.0,막걸리,명,,C,막걸리
1706,4269.0,막내,명,,B,막내
1707,700.0,막다01,동,,B,막다
1708,3742.0,막상01,부,,C,막상
1709,1344.0,막히다,동,,B,막히다
1710,811.0,만01,의,십 년 ~에,C,만
1711,6221.0,만02,의,화를 낼 ~도 하다,C,만
1712,3865.0,만06,관,萬,A,만
1713,8359.0,만06,수,萬,A,
1714,7226.0,만07,관,滿. ~ 3개월,B,만
1715,166.0,만나다,동,,A,만나다
1716,2572.0,만남,명,,B,만남
1717,16774.0,만두01,명,饅頭,B,만두
1718,61.0,만들다,동,,A,만들다
1719,1071.0,만들어지다,동,,B,만들어지다
1720,3866.0,만만하다01,형,대적할 만함,C,만만하다
1721,9549.0,만세04,명,萬歲,C,만세
1722,1134.0,만약,명,萬若,B,만약
1723,1761.0,만일01,명,萬一,B,만일
1724,5896.0,만점,명,滿點,C,만점
1725,4999.0,만족01,명,滿足,C,만족
1726,7505.0,만족스럽다,형,滿足-,C,만족스럽다
1727,6049.0,만족하다,동,滿足-,B,만족하다
1728,3804.0,만족하다,형,滿足-,B,
1729,2522.0,만지다,동,,B,만지다
1730,440.0,만큼,의,,B,만큼
1731,451.0,만하다,보,,C,만하다
1732,2059.0,만화10,명,漫畵,B,만화
1733,9551.0,만화가,명,漫畵家,C,만화가
1734,43.0,많다,형,,A,많다
1735,2381.0,많아지다,동,,B,많아지다
1736,98.0,많이,부,,A,많이
1737,28.0,말01,명,~과 글,A,말
1738,2624.0,말05,명,동물,B,말
1739,780.0,말11,의,末,B,말
1740,3144.0,말기05,명,末期,C,말기
1741,5343.0,말다01,동,감다,C,말다
1742,576.0,말다03,동,그만두다,A,말다
1743,161.0,말다03,보,,A,
1744,3922.0,말리다02,동,싸움을 ~,C,말리다
1745,3232.0,말리다03,동,빨래를 ~,C,말리다
1746,812.0,말씀,명,,A,말씀
1747,3184.0,말씀드리다,동,,B,말씀드리다
1748,1381.0,말씀하다,동,,A,말씀하다
1749,3145.0,말없이,부,,C,말없이
1750,5746.0,말투,명,-套,C,말투
1751,32.0,말하다,동,,A,말하다
1752,1077.0,맑다01,형,,A,맑다
1753,3923.0,맘01,명,마음,C,맘
1754,9552.0,맘대로,부,마음대로,C,맘대로
1755,390.0,맛01,명,,A,맛
1756,3275.0,맛보다01,동,,C,맛보다
1757,15475.0,맛없다,형,,A,맛없다
1758,1020.0,맛있다,형,,A,맛있다
1759,3467.0,망설이다,동,,C,망설이다
1760,4888.0,망원경,명,望遠鏡,C,망원경
1761,5000.0,망치다,동,,C,망치다
1762,3146.0,망하다,동,亡-,C,망하다
1763,378.0,맞다01,동,답이 ~,B,맞다
1764,800.0,맞다02,동,손님을 ~,B,맞다
1765,1546.0,맞다03,동,매를 ~,B,맞다
1766,2828.0,맞서다,동,,B,맞서다
1767,5344.0,맞은편,명,-便,B,맞은편
1768,3317.0,맞이하다,동,,C,맞이하다
1769,694.0,맞추다01,동,,B,맞추다
1770,1516.0,맡기다,동,,B,맡기다
1771,633.0,맡다01,동,담임을 ~,B,맡다
1772,4422.0,맡다02,동,냄새를 ~,C,맡다
1773,5476.0,매01,명,~를 맞다,C,매
1774,4690.0,매너,명,manner,C,매너
1775,2767.0,매년,부,每年,B,매년
1776,3982.0,매다01,동,끈을 ~,B,매다
1777,5897.0,매달,부,每-,C,매달
1778,6994.0,매달다,동,,C,매달다
1779,1962.0,매달리다,동,,C,매달리다
1780,2409.0,매력,명,魅力,B,매력
1781,10013.0,매번,부,每番,C,매번
1782,7759.0,매스컴,명,mass communication,C,매스컴
1783,393.0,매우01,부,,A,매우
1784,1272.0,매일,부,每日,A,매일
1785,6784.0,매일,명,每日,A,
1786,3185.0,매장06,명,賣場,C,매장
1787,6995.0,매주01,부,每週,C,매주
1788,1345.0,매체,명,媒體,C,매체
1789,2861.0,맥주,명,麥酒,A,맥주
1790,1750.0,맨01,관,,B,맨
1791,6050.0,맵다,형,,A,맵다
1792,1674.0,맺다,동,,C,맺다
1793,288.0,머리01,명,,A,머리
1794,9554.0,머리말,명,,C,머리말
1795,3983.0,머리카락,명,,B,머리카락
1796,5610.0,머리칼,명,,C,머리칼
1797,2178.0,머릿속,명,,B,머릿속
1798,2094.0,머무르다,동,,B,머무르다
1799,2469.0,머물다,동,,C,머물다
1800,5478.0,먹고살다,동,,C,먹고살다
1801,10015.0,먹다01,동,귀를 ~,C,먹다
1802,3924.0,먹다02,보,잊어 ~,A,먹다
1803,70.0,먹다02,동,밥을 ~,A,
1804,3686.0,먹이,명,,C,먹이
1805,2060.0,먹이다,동,,B,먹이다
1806,8361.0,먹히다,동,,B,먹히다
1807,283.0,먼저,부,,A,먼저
1808,2958.0,먼지01,명,,B,먼지
1809,718.0,멀다02,형,갈 길이 ~,A,멀다
1810,997.0,멀리01,부,,B,멀리
1811,3186.0,멀어지다,동,,B,멀어지다
1812,1418.0,멈추다,동,,B,멈추다
1813,5346.0,멋01,명,,B,멋
1814,5206.0,멋있다,형,,B,멋있다
1815,3350.0,멋지다,형,,C,멋지다
1816,32365.0,멍멍01,부,,C,멍멍
1817,5479.0,멎다01,동,,C,멎다
1818,5002.0,메뉴,명,menu,A,메뉴
1819,6051.0,메다02,동,총을 ~,B,메다
1820,7231.0,메모,명,memo,B,메모
1821,3526.0,메시지,명,message,B,메시지
1822,3805.0,메우다02,동,'메다'의 사동사,C,메우다
1823,23197.0,메일,명,mail,B,메일
1824,2923.0,며느리,명,,B,며느리
1825,1021.0,며칠,명,,A,며칠
1826,4058.0,면04,명,面. 행정 단위,C,면
1827,643.0,면05,명,面. 양쪽 ~,C,면
1828,5347.0,면07,명,綿,C,면
1829,5481.0,면담,명,面談,C,면담
1830,3806.0,면적,명,面積,C,면적
1831,9555.0,면접,명,面接,C,면접
1832,3527.0,면하다01,동,免-,C,면하다
1833,5207.0,멸치,명,,C,멸치
1834,77.0,명03,의,名. 한 ~,A,명
1835,6222.0,명단01,명,名單,C,명단
1836,2311.0,명령01,명,命令,B,명령
1837,5748.0,명령어,명,命令語,C,명령어
1838,2470.0,명예01,명,名譽,C,명예
1839,3578.0,명의02,명,名義,C,명의
1840,3926.0,명절01,명,名節,B,명절
1841,3187.0,명칭02,명,名稱,C,명칭
1842,9557.0,명함,명,名銜,B,명함
1843,3984.0,명확하다,형,明確-,C,명확하다
1844,3743.0,몇,수,,A,몇
1845,186.0,몇,관,,A,
1846,2112.0,몇몇,관,,B,몇몇
1847,7234.0,몇십,관,,B,몇십
1848,5613.0,모15,관,某,C,모
1849,2095.0,모15,대,某,C,
1850,5003.0,모금01,의,한 ~,C,모금
1851,6582.0,모기01,명,,B,모기
1852,3000.0,모니터,명,monitor,B,모니터
1853,1840.0,모델,명,model,B,모델
1854,708.0,모두01,명,,A,모두
1855,145.0,모두01,부,,A,
1856,137.0,모든,관,,A,모든
1857,2862.0,모래01,명,,B,모래
1858,12460.0,모레,명,,B,모레
1859,59.0,모르다,동,,A,모르다
1860,4890.0,모범02,명,模範,C,모범
1861,3528.0,모색하다02,동,摸索-,C,모색하다
1862,164.0,모습01,명,,B,모습
1863,1368.0,모시다,동,,B,모시다
1864,464.0,모양02,명,模樣,B,모양
1865,911.0,모양02,의,模樣,B,
1866,5899.0,모여들다,동,,C,모여들다
1867,508.0,모으다,동,,B,모으다
1868,610.0,모이다01,동,,B,모이다
1869,906.0,모임01,명,,B,모임
1870,4059.0,모자08,명,帽子,A,모자
1871,2829.0,모자라다,동,,B,모자라다
1872,5104.0,모조리01,부,,C,모조리
1873,5485.0,모집,명,募集,C,모집
1874,8064.0,모집하다,동,募集-,C,모집하다
1875,3406.0,모처럼,부,,C,모처럼
1876,5486.0,모퉁이,명,,C,모퉁이
1877,1230.0,목01,명,,A,목
1878,10505.0,목걸이01,명,,B,목걸이
1879,4340.0,목록,명,目錄,C,목록
1880,2523.0,목사05,명,牧師,B,목사
1881,486.0,목소리,명,,B,목소리
1882,1973.0,목숨,명,,C,목숨
1883,11099.0,목요일,명,木曜日,A,목요일
1884,3808.0,목욕,명,沐浴,A,목욕
1885,5749.0,목욕탕,명,沐浴湯,B,목욕탕
1886,740.0,목적03,명,目的,B,목적
1887,1036.0,목표,명,目標,B,목표
1888,2196.0,몰다01,동,,B,몰다
1889,2312.0,몰래01,부,,B,몰래
1890,4790.0,몰려들다,동,,C,몰려들다
1891,6052.0,몰려오다,동,,C,몰려오다
1892,156.0,몸01,명,,A,몸
1893,7238.0,몸매,명,,C,몸매
1894,7239.0,몸무게,명,,B,몸무게
1895,8364.0,몸살01,명,~이 걸리다,B,몸살
1896,9558.0,몸속,명,,C,몸속
1897,3636.0,몸짓,명,,C,몸짓
1898,3744.0,몸통,명,,C,몸통
1899,1687.0,몹시,부,,B,몹시
1900,3745.0,못01,명,벽에 ~을 박다,C,못
1901,207.0,못04,부,,A,못
1902,3867.0,못되다,형,,C,못되다
1903,11104.0,못생기다,형,,C,못생기다
1904,2213.0,못지않다,형,,C,못지않다
1905,495.0,못하다,동,,A,못하다
1906,3927.0,못하다,형,,A,
1907,57.0,못하다,보,,A,
1908,5005.0,묘사02,명,描寫,C,묘사
1909,3746.0,묘사하다,동,描寫-,C,묘사하다
1910,3687.0,무02,명,식물,B,무
1911,7767.0,무08,명,無,C,무
1912,1662.0,무겁다,형,,A,무겁다
1913,2442.0,무게,명,,B,무게
1914,7240.0,무관심,명,無關心,C,무관심
1915,10024.0,무관심하다,형,無關心-,C,무관심하다
1916,6405.0,무궁화,명,無窮花,C,무궁화
1917,2113.0,무기05,명,武器,C,무기
1918,1793.0,무너지다,동,,C,무너지다
1919,3277.0,무늬,명,,B,무늬
1920,727.0,무대06,명,舞臺,C,무대
1921,8367.0,무더위,명,,B,무더위
1922,3233.0,무덤,명,,C,무덤
1923,9129.0,무덥다,형,,C,무덥다
1924,3072.0,무려02,부,無慮,C,무려
1925,1321.0,무렵,의,,B,무렵
1926,3688.0,무료01,명,無料,C,무료
1927,1637.0,무릎,명,,B,무릎
1928,3468.0,무리01,명,~를 이루다,C,무리
1929,2896.0,무리08,명,無理,C,무리
1930,4891.0,무리하다,형,無理-,C,무리하다
1931,10027.0,무사하다04,형,無事-,C,무사하다
1932,1051.0,무섭다,형,,B,무섭다
1933,221.0,무슨,관,,A,무슨
1934,2061.0,무시하다,동,無視-,B,무시하다
1935,1533.0,무어01,대,,B,무어
1936,135.0,무엇,대,,A,무엇
1937,1201.0,무역02,명,貿易,B,무역
1938,1382.0,무용03,명,舞踊,B,무용
1939,8369.0,무용가,명,舞踊家,C,무용가
1940,6224.0,무의미하다,형,無意味-,C,무의미하다
1941,2313.0,무조건,부,無條件,B,무조건
1942,10517.0,무지개,명,,C,무지개
1943,9563.0,무책임하다,형,無責任-,C,무책임하다
1944,1169.0,무척01,부,,B,무척
1945,5902.0,묵다01,동,오래된 상태,C,묵다
1946,7769.0,묵다02,동,머무르다,C,묵다
1947,2711.0,묶다,동,,B,묶다
1948,4892.0,묶이다,동,,C,묶이다
1949,469.0,문05,명,門,A,문
1950,6225.0,문구01,명,文句,C,문구
1951,1688.0,문득01,부,,C,문득
1952,6790.0,문밖,명,門-,C,문밖
1953,10519.0,문법01,명,文法,C,문법
1954,3147.0,문서,명,文書,C,문서
1955,2281.0,문자02,명,文字,C,문자
1956,3278.0,문장02,명,文章,B,문장
1957,53.0,문제06,명,問題,A,문제
1958,7002.0,문제되다,동,問題-,C,문제되다
1959,1591.0,문제점,명,問題點,B,문제점
1960,272.0,문학01,명,文學,B,문학
1961,13326.0,문학적,명,文學的,C,문학적
1962,73.0,문화01,명,文化,B,문화
1963,1390.0,문화재,명,文化財,C,문화재
1964,5007.0,문화적,명,文化的,C,문화적
1965,2282.0,묻다01,동,옷에 흙이 ~,B,묻다
1966,3279.0,묻다02,동,시체를 ~,C,묻다
1967,289.0,묻다03,동,길을 ~,A,묻다
1968,5008.0,묻히다01,동,옷에 흙을 ~,C,묻히다
1969,3073.0,묻히다02,동,땅에 ~,C,묻히다
1970,165.0,물01,명,바닷~,A,물
1971,1990.0,물가02,명,物價,C,물가
1972,560.0,물건,명,物件,A,물건
1973,3234.0,물결,명,,C,물결
1974,3579.0,물고기,명,,B,물고기
1975,2443.0,물기,명,-氣,C,물기
1976,2024.0,물다02,동,담배를 ~,B,물다
1977,3580.0,물러나다,동,,C,물러나다
1978,213.0,물론01,부,勿論,A,물론
1979,1435.0,물론01,명,勿論,B,
1980,3407.0,물리학,명,物理學,C,물리학
1981,2079.0,물속,명,,B,물속
1982,1483.0,물어보다,동,,A,물어보다
1983,2897.0,물음01,명,,B,물음
1984,912.0,물질02,명,物質,C,물질
1985,6054.0,물질적,명,物質的,C,물질적
1986,1461.0,물체,명,物體,C,물체
1987,108.0,뭐,대,,A,뭐
1988,339.0,뭐,감,,A,
1989,9136.0,뭘01,감,,C,뭘
1990,6228.0,뭣,대,,C,뭣
1991,1025.0,미14,명,美,C,미
1992,,미국,고,美國,A,미국
1993,5753.0,미끄러지다,동,,C,미끄러지다
1994,13330.0,미끄럽다,형,,C,미끄럽다
1995,6585.0,미니02,명,mini,C,미니
1996,2573.0,미디어,명,media,B,미디어
1997,1298.0,미래02,명,未來,B,미래
1998,2157.0,미루다,동,,C,미루다
1999,1242.0,미리01,부,,B,미리
2000,6230.0,미만01,명,未滿,C,미만
2001,4601.0,미사일,명,missile,C,미사일
2002,1391.0,미소05,명,微笑,B,미소
2003,1600.0,미술,명,美術,B,미술
2004,3748.0,미술관,명,美術館,B,미술관
2005,4424.0,미스03,명,Miss,C,미스
2006,1484.0,미안하다,형,未安-,A,미안하다
2007,11768.0,미역02,명,,C,미역
2008,44499.0,미용실,명,美容室,C,미용실
2009,7516.0,미움,명,,C,미움
2010,8071.0,미워하다,동,,B,미워하다
2011,6056.0,미인01,명,美人,B,미인
2012,3038.0,미처,부,,C,미처
2013,1918.0,미치다01,동,정신에 이상이 생기다,B,미치다
2014,1044.0,미치다02,동,닿다,B,미치다
2015,843.0,미터02,의,meter,A,미터
2016,4793.0,미팅,명,meeting,B,미팅
2017,5009.0,미혼01,명,未婚,C,미혼
2018,1880.0,민간,명,民間,C,민간
2019,4693.0,민속01,명,民俗,C,민속
2020,334.0,민족,명,民族,B,민족
2021,2080.0,민주02,명,民主,C,민주
2022,1991.0,민주주의,명,民主主義,C,민주주의
2023,1854.0,민주화,명,民主化,C,민주화
2024,431.0,믿다,동,,B,믿다
2025,6058.0,믿어지다,동,,C,믿어지다
2026,2924.0,믿음,명,,B,믿음
2027,2625.0,밀가루,명,,B,밀가루
2028,1485.0,밀다01,동,,B,밀다
2029,4425.0,밀리다01,동,방세가 ~,C,밀리다
2030,1818.0,밀리미터,의,millimeter,B,밀리미터
2031,3581.0,밀접하다,형,密接-,C,밀접하다
2032,3689.0,밉다,형,,B,밉다
2033,245.0,및,부,,B,및
2034,652.0,밑01,명,,A,밑
2035,4512.0,밑바닥,명,,C,밑바닥
2036,434.0,바03,의,,C,바
2037,4794.0,바04,명,bar,C,바
2038,7518.0,바가지01,명,,C,바가지
2039,5488.0,바구니,명,,C,바구니
2040,2626.0,바깥,명,,B,바깥
2041,5904.0,바깥쪽,명,,C,바깥쪽
2042,432.0,바꾸다,동,,A,바꾸다
2043,759.0,바뀌다,동,,B,바뀌다
2044,7773.0,바나나,명,banana,A,바나나
2045,2524.0,바늘,명,,B,바늘
2046,488.0,바다,명,,A,바다
2047,1327.0,바닥01,명,,B,바닥
2048,2959.0,바닷가,명,,B,바닷가
2049,5754.0,바닷물,명,,B,바닷물
2050,583.0,바라다01,동,,B,바라다
2051,387.0,바라보다,동,,B,바라보다
2052,1663.0,바람01,의,눈이 오는 ~에,A,바람
2053,478.0,바람01,명,~이 불다,A,
2054,5210.0,바람02,명,소원,C,바람
2055,1565.0,바람직하다,형,,C,바람직하다
2056,132.0,바로02,부,,A,바로
2057,2800.0,바로잡다,동,,C,바로잡다
2058,1497.0,바르다01,동,벽지를 ~,B,바르다
2059,1135.0,바르다03,형,굽은 데가 없다,B,바르다
2060,2680.0,바보,명,,B,바보
2061,868.0,바쁘다,형,,A,바쁘다
2062,5489.0,바싹01,부,,C,바싹
2063,2382.0,바위01,명,,B,바위
2064,6411.0,바이러스,명,virus,C,바이러스
2065,3928.0,바이올린,명,violin,B,바이올린
2066,2627.0,바지01,명,,A,바지
2067,2960.0,바치다01,동,드리다,C,바치다
2068,5615.0,바퀴01,명,수레 ~,C,바퀴
2069,4795.0,바퀴01,의,네 ~,C,
2070,1005.0,바탕01,명,,C,바탕
2071,5349.0,박10,의,泊,C,박
2072,2830.0,박다01,동,,C,박다
2073,1517.0,박물관,명,博物館,A,박물관
2074,1377.0,박사01,명,博士,B,박사
2075,3148.0,박수02,명,拍手,B,박수
2076,8375.0,박스,명,box,B,박스
2077,2801.0,박히다,동,,C,박히다
2078,257.0,밖,명,,A,밖
2079,834.0,반07,명,半,A,반
2080,933.0,반11,명,班,A,반
2081,1868.0,반갑다,형,,A,반갑다
2082,8377.0,반기다,동,,C,반기다
2083,1218.0,반대03,명,反對,B,반대
2084,9144.0,반대편,명,反對便,C,반대편
2085,2039.0,반대하다01,동,反對-,B,반대하다
2086,781.0,반드시,부,,B,반드시
2087,11775.0,반말,명,半-,C,반말
2088,1097.0,반면02,명,反面,C,반면
2089,3351.0,반발01,명,反撥,C,반발
2090,4273.0,반복되다,동,反復-,C,반복되다
2091,4341.0,반복하다01,동,反復-,B,반복하다
2092,3809.0,반성01,명,反省,C,반성
2093,4342.0,반성하다01,동,反省-,C,반성하다
2094,2214.0,반영하다,동,反映-,C,반영하다
2095,1309.0,반응,명,反應,C,반응
2096,2314.0,반장08,명,班長,B,반장
2097,6059.0,반죽,명,,C,반죽
2098,6060.0,반지02,명,半指,B,반지
2099,9570.0,반짝거리다,동,,C,반짝거리다
2100,7246.0,반짝이다,동,,C,반짝이다
2101,3352.0,반찬,명,飯饌,B,반찬
2102,2961.0,반하다03,동,反-,B,반하다
2103,47.0,받다01,동,선물을 ~,A,받다
2104,787.0,받아들이다,동,,B,받아들이다
2105,7013.0,받침,명,,B,받침
2106,564.0,발01,명,신체의 일부,A,발
